Дата;Ресторан;Оценка;Комментарий
2024-06-01;Центр;5;Отличная еда и обслуживание
2024-06-01;Арбат;4;Вкусно, но долго ждали
2024-06-01;Китай-город;5;Всё понравилось
2024-06-01;Сокольники;3;Средне, ожидал большего
2024-06-01;Измайлово;4;Хорошо, вернёмся ещё
2024-06-02;Центр;5;Лучший ресторан в городе
2024-06-02;Арбат;5;Прекрасная паста
2024-06-02;Китай-город;4;Домашняя атмосфера
2024-06-02;Сокольники;4;Отличный шашлык
2024-06-02;Измайлово;5;Свежая рыба, рекомендую
2024-06-03;Центр;4;Хорошо, как всегда
2024-06-03;Арбат;3;Том Ям был слишком острый
2024-06-03;Китай-город;5;Лучшие пельмени в городе
2024-06-03;Сокольники;5;Очень вкусный плов
2024-06-03;Измайлово;4;Приятное место у воды
2024-06-04;Центр;5;Стейк приготовлен идеально
2024-06-04;Арбат;4;Уютная обстановка
2024-06-04;Китай-город;4;Быстрое обслуживание
2024-06-04;Сокольники;3;Манты были холодные
2024-06-04;Измайлово;5;Отмечали день рождения
2024-06-05;Центр;5;Высший класс
2024-06-05;Арбат;4;Хороший выбор вина
2024-06-05;Китай-город;5;Домашняя кухня
2024-06-05;Сокольники;4;Сытно и вкусно
2024-06-05;Измайлово;3;Долго готовили заказ
2024-06-06;Центр;5;Идеально для бизнес-ланча
2024-06-06;Арбат;5;Романтическая атмосфера
2024-06-06;Китай-город;4;Приятные цены
2024-06-06;Сокольники;5;Настоящая восточная кухня
2024-06-06;Измайлово;4;Красивый вид из окна
2024-06-07;Центр;4;Многолюдно, но вкусно
2024-06-07;Арбат;5;Лучший тирамису
2024-06-07;Китай-город;5;Семейное место
2024-06-07;Сокольники;4;Щедрые порции
2024-06-07;Измайлово;5;Отличный чизкейк
