product_id;product_name;category_id;price;stock_quantity;description;brand
1;iPhone 14;1;12567,28;20;Качественный товар iPhone 14 от бренда Adidas;Adidas
2;Samsung Galaxy S23;1;14738,82;54;Качественный товар Samsung Galaxy S23 от бренда Sony;Sony
3;Ноутбук Lenovo;1;11432,84;67;Качественный товар Ноутбук Lenovo от бренда Zara;Zara
4;MacBook Air;1;10515,69;11;Качественный товар MacBook Air от бренда Adidas;Adidas
5;Наушники Sony;1;15787,09;78;Качественный товар Наушники Sony от бренда Adidas;Adidas
6;Планшет iPad;1;9526,88;87;Качественный товар Планшет iPad от бренда Apple;Apple
7;Телевизор LG;1;14946,25;17;Качественный товар Телевизор LG от бренда Nike;Nike
8;Смарт-часы Apple;1;17680,51;59;Качественный товар Смарт-часы Apple от бренда Bosch;Bosch
9;Колонка JBL;1;9295,07;97;Качественный товар Колонка JBL от бренда Apple;Apple
10;Мышь Logitech;1;3158,53;20;Качественный товар Мышь Logitech от бренда Philips;Philips
11;Клавиатура Razer;1;20354,86;40;Качественный товар Клавиатура Razer от бренда H&M;H&M
12;Монитор ASUS;1;19547,29;35;Качественный товар Монитор ASUS от бренда Zara;Zara
13;Джинсы Levis;2;14468,34;57;Качественный товар Джинсы Levis от бренда Bosch;Bosch
14;Куртка Nike;2;20195,20;99;Качественный товар Куртка Nike от бренда Samsung;Samsung
15;Платье Zara;2;13126,24;5;Качественный товар Платье Zara от бренда Philips;Philips
16;Кроссовки Adidas;2;21955,41;30;Качественный товар Кроссовки Adidas от бренда Sony;Sony
17;Рубашка Hugo Boss;2;13833,12;22;Качественный товар Рубашка Hugo Boss от бренда LG;LG
18;Свитер H&M;2;8326,65;11;Качественный товар Свитер H&M от бренда Sony;Sony
19;Юбка Mango;2;1289,87;46;Качественный товар Юбка Mango от бренда Sony;Sony
20;Ботинки Timberland;2;1601,35;25;Качественный товар Ботинки Timberland от бренда Bosch;Bosch
21;Шорты Puma;2;23148,56;71;Качественный товар Шорты Puma от бренда Zara;Zara
22;Футболка Tommy Hilfiger;2;17283,42;53;Качественный товар Футболка Tommy Hilfiger от бренда Sony;Sony
23;Пылесос Dyson;3;15085,92;88;Качественный товар Пылесос Dyson от бренда Samsung;Samsung
24;Микроволновка Samsung;3;23584,07;51;Качественный товар Микроволновка Samsung от бренда Hugo Boss;Hugo Boss
25;Кофемашина DeLonghi;3;23287,05;57;Качественный товар Кофемашина DeLonghi от бренда Levis;Levis
26;Утюг Philips;3;14068,18;99;Качественный товар Утюг Philips от бренда LG;LG
27;Чайник Bosch;3;2796,91;88;Качественный товар Чайник Bosch от бренда Philips;Philips
28;Миксер KitchenAid;3;21165,91;15;Качественный товар Миксер KitchenAid от бренда Adidas;Adidas
29;Тостер Tefal;3;9883,01;94;Качественный товар Тостер Tefal от бренда Nike;Nike
30;Блендер Braun;3;9072,41;98;Качественный товар Блендер Braun от бренда H&M;H&M
31;Мультиварка Redmond;3;19257,03;85;Качественный товар Мультиварка Redmond от бренда Zara;Zara
32;Велосипед Trek;4;13180,06;70;Качественный товар Велосипед Trek от бренда Bosch;Bosch
33;Беговая дорожка;4;10430,40;47;Качественный товар Беговая дорожка от бренда Apple;Apple
34;Гантели;4;3510,91;90;Качественный товар Гантели от бренда Hugo Boss;Hugo Boss
35;Коврик для йоги;4;2183,59;32;Качественный товар Коврик для йоги от бренда H&M;H&M
36;Мяч футбольный;4;12127,19;46;Качественный товар Мяч футбольный от бренда Apple;Apple
37;Палатка Coleman;4;4493,24;89;Качественный товар Палатка Coleman от бренда Zara;Zara
38;Спальник;4;21675,58;78;Качественный товар Спальник от бренда Sony;Sony
39;Рюкзак туристический;4;14414,17;20;Качественный товар Рюкзак туристический от бренда Adidas;Adidas
40;Лыжи Fischer;4;17821,17;88;Качественный товар Лыжи Fischer от бренда Sony;Sony
41;Крем для лица;5;16489,02;96;Качественный товар Крем для лица от бренда H&M;H&M
42;Шампунь Loreal;5;6814,40;77;Качественный товар Шампунь Loreal от бренда Bosch;Bosch
43;Помада MAC;5;17766,51;95;Качественный товар Помада MAC от бренда Philips;Philips
44;Духи Chanel;5;15446,72;33;Качественный товар Духи Chanel от бренда Levis;Levis
45;Маска для волос;5;1516,89;46;Качественный товар Маска для волос от бренда Hugo Boss;Hugo Boss
46;Скраб для тела;5;11579,43;52;Качественный товар Скраб для тела от бренда Zara;Zara
47;Сыворотка с витамином C;5;4829,23;70;Качественный товар Сыворотка с витамином C от бренда Apple;Apple
48;Тональный крем;5;11032,58;84;Качественный товар Тональный крем от бренда Apple;Apple
49;Бальзам для губ;5;14874,40;14;Качественный товар Бальзам для губ от бренда Samsung;Samsung
50;Коляска детская;6;23802,98;22;Качественный товар Коляска детская от бренда Zara;Zara
51;Автокресло;6;18596,86;54;Качественный товар Автокресло от бренда Hugo Boss;Hugo Boss
52;Игрушка развивающая;6;2260,75;54;Качественный товар Игрушка развивающая от бренда Hugo Boss;Hugo Boss
53;Подгузники Pampers;6;15920,05;91;Качественный товар Подгузники Pampers от бренда Samsung;Samsung
54;Детское питание;6;7951,01;29;Качественный товар Детское питание от бренда Bosch;Bosch
55;Кроватка детская;6;19864,19;33;Качественный товар Кроватка детская от бренда Sony;Sony
56;Высокий стул;6;503,93;78;Качественный товар Высокий стул от бренда Nike;Nike
57;Манеж;6;18903,69;45;Качественный товар Манеж от бренда Bosch;Bosch
58;Радионяня;6;4652,44;76;Качественный товар Радионяня от бренда H&M;H&M
59;"Роман ""Мастер и Маргарита""";7;3474,02;91;"Качественный товар Роман ""Мастер и Маргарита"" от бренда Apple";Apple
60;Учебник по математике;7;11743,10;19;Качественный товар Учебник по математике от бренда Zara;Zara
61;Ручка Parker;7;19398,84;48;Качественный товар Ручка Parker от бренда Hugo Boss;Hugo Boss
62;Блокнот Moleskine;7;9850,68;54;Качественный товар Блокнот Moleskine от бренда Adidas;Adidas
63;Карандаши цветные;7;24724,33;31;Качественный товар Карандаши цветные от бренда Philips;Philips
64;Маркеры;7;15400,46;44;Качественный товар Маркеры от бренда Adidas;Adidas
65;Калькулятор;7;22944,88;77;Качественный товар Калькулятор от бренда Sony;Sony
66;Степлер;7;20965,04;23;Качественный товар Степлер от бренда Levis;Levis
67;Папка для документов;7;14691,43;13;Качественный товар Папка для документов от бренда Hugo Boss;Hugo Boss
68;Масло моторное;8;9511,99;86;Качественный товар Масло моторное от бренда Sony;Sony
69;Аккумулятор автомобильный;8;23597,48;62;Качественный товар Аккумулятор автомобильный от бренда Philips;Philips
70;Коврики в салон;8;773,86;90;Качественный товар Коврики в салон от бренда Apple;Apple
71;Чехлы на сиденья;8;7584,76;21;Качественный товар Чехлы на сиденья от бренда Adidas;Adidas
72;Видеорегистратор;8;7795,37;55;Качественный товар Видеорегистратор от бренда LG;LG
